,2198.T,2198.T,2198.T,2198.T,2198.T,2198.T,2198.T,2198.T,2198.T,2198.T,2198.T,2198.T,2198.T
,ACVOL_UNS,BID_HIGH_1,BID_LOW_1,OPEN_BID,BID,ASK_HIGH_1,ASK_LOW_1,OPEN_ASK,ASK,MID_HIGH,MID_LOW,MID_OPEN,MID_PRICE
Timestamp,,,,,,,,,,,,,
2025-04-30 04:45:00,,786,785,785,786,787,787,787,787,786.5,786.0,786.0,786.5
2025-04-30 04:50:00,2000,786,785,786,786,787,787,787,787,786.5,786.0,786.5,786.5
2025-04-30 04:55:00,700,787,786,786,787,788,787,787,788,787.5,786.5,786.5,787.5
2025-04-30 05:00:00,2400,788,787,787,787,789,788,788,788,788.5,787.5,787.5,787.5
2025-04-30 05:05:00,500,787,787,787,787,788,788,788,788,787.5,787.5,787.5,787.5
2025-04-30 05:10:00,100,787,787,787,787,788,788,788,788,787.5,787.5,787.5,787.5
2025-04-30 05:15:00,1300,788,787,787,788,789,788,788,789,788.5,787.5,787.5,788.5
2025-04-30 05:20:00,1000,788,787,788,787,789,788,789,788,788.5,787.5,788.5,787.5
2025-04-30 05:25:00,2800,787,786,787,786,788,787,788,788,787.5,786.5,787.5,787.0
2025-04-30 05:30:00,,787,786,786,787,788,788,788,788,787.5,787.0,787.0,787.5
2025-04-30 05:35:00,2300,788,787,787,788,789,788,788,789,788.5,787.5,787.5,788.5
2025-04-30 05:40:00,100,788,788,788,788,789,789,789,789,788.5,788.5,788.5,788.5
2025-04-30 05:45:00,200,788,788,788,788,789,789,789,789,788.5,788.5,788.5,788.5
2025-04-30 05:50:00,1100,788,787,788,788,789,788,789,789,788.5,787.5,788.5,788.5
2025-04-30 05:55:00,3500,788,788,788,788,789,789,789,789,788.5,788.5,788.5,788.5
2025-04-30 06:00:00,3800,789,788,788,789,790,789,789,790,789.5,788.5,788.5,789.5
2025-04-30 06:05:00,,789,789,789,789,790,790,790,790,789.5,789.5,789.5,789.5
2025-04-30 06:10:00,100,789,789,789,789,790,790,790,790,789.5,789.5,789.5,789.5
2025-04-30 06:15:00,2300,789,789,789,789,790,790,790,790,789.5,789.5,789.5,789.5
2025-04-30 06:20:00,400,789,789,789,789,790,790,790,790,789.5,789.5,789.5,789.5
2025-04-30 06:25:00,,793,789,791,789,794,790,792,790,793.5,789.5,791.5,789.5
2025-04-30 06:30:00,8300,789,789,789,789,790,790,790,790,789.5,789.5,789.5,789.5
2025-05-01 00:00:00,25300,789,779,789,781,790,781,790,782,789.5,780.0,789.5,781.5
2025-05-01 00:05:00,5300,781,779,781,780,782,780,782,781,781.5,779.5,781.5,780.5
2025-05-01 00:10:00,1900,781,779,780,780,783,781,781,782,782.0,780.0,780.5,781.0
2025-05-01 00:15:00,2600,784,780,781,783,785,782,782,784,784.5,781.0,781.5,783.5
2025-05-01 00:20:00,1900,785,783,783,785,787,784,784,786,786.0,783.5,783.5,785.5
2025-05-01 00:25:00,1200,785,783,785,784,786,785,786,785,785.5,784.0,785.5,784.5
2025-05-01 00:30:00,500,785,784,784,785,786,785,785,786,785.5,784.5,784.5,785.5
2025-05-01 00:35:00,1200,786,784,785,784,787,786,787,786,786.5,785.0,786.0,785.0
2025-05-01 00:40:00,600,786,784,784,786,787,786,786,787,786.5,785.0,785.0,786.5
2025-05-01 00:45:00,100,786,786,786,786,787,787,787,787,786.5,786.5,786.5,786.5
2025-05-01 00:50:00,200,786,786,786,786,787,787,787,787,786.5,786.5,786.5,786.5
2025-05-01 00:55:00,400,786,785,786,785,787,786,787,786,786.5,785.5,786.5,785.5
2025-05-01 01:00:00,2900,785,783,785,783,786,784,786,784,785.5,783.5,785.5,783.5
2025-05-01 01:05:00,1000,784,783,783,784,785,784,784,785,784.5,783.5,783.5,784.5
2025-05-01 01:10:00,,784,784,784,784,785,785,785,785,784.5,784.5,784.5,784.5
2025-05-01 01:15:00,1000,784,784,784,784,786,785,785,785,785.0,784.5,784.5,784.5
2025-05-01 01:20:00,300,784,784,784,784,786,785,785,785,785.0,784.5,784.5,784.5
2025-05-01 01:25:00,,784,784,784,784,785,785,785,785,784.5,784.5,784.5,784.5
2025-05-01 01:30:00,800,785,784,784,784,786,785,785,786,785.5,784.5,784.5,785.0
2025-05-01 01:35:00,7900,787,784,784,786,789,786,786,787,788.0,785.0,785.0,786.5
2025-05-01 01:40:00,1400,787,786,786,787,788,787,788,788,787.5,786.5,787.0,787.5
2025-05-01 01:45:00,,787,786,787,787,788,788,788,788,787.5,787.0,787.5,787.5
2025-05-01 01:50:00,,787,787,787,787,788,788,788,788,787.5,787.5,787.5,787.5
2025-05-01 01:55:00,800,788,787,787,788,789,788,788,789,788.5,787.5,787.5,788.5
2025-05-01 02:00:00,1300,789,788,788,788,790,789,789,789,789.5,788.5,788.5,788.5
