,6201.T,6201.T,6201.T,6201.T,6201.T,6201.T,6201.T,6201.T,6201.T,6201.T,6201.T,6201.T,6201.T
,ACVOL_UNS,BID_HIGH_1,BID_LOW_1,OPEN_BID,BID,ASK_HIGH_1,ASK_LOW_1,OPEN_ASK,ASK,MID_HIGH,MID_LOW,MID_OPEN,MID_PRICE
Timestamp,,,,,,,,,,,,,
2025-05-13 06:15:00,31500,16950,16900,16945,16920,16955,16905,16950,16925,16952.5,16902.5,16947.5,16922.5
2025-05-13 06:20:00,32300,16955,16910,16920,16935,16960,16920,16925,16940,16957.5,16915.0,16922.5,16937.5
2025-05-13 06:25:00,,16940,15555,16725,16940,16945,15560,16730,16945,16942.5,15557.5,16727.5,16942.5
2025-05-13 06:30:00,247300,16925,16925,16925,16925,16960,16960,16960,16960,16942.5,16942.5,16942.5,16942.5
2025-05-14 00:00:00,58900,16980,16800,16940,16800,17010,16810,16945,16820,16995.0,16805.0,16942.5,16810.0
2025-05-14 00:05:00,24200,16820,16725,16800,16740,16835,16745,16820,16750,16827.5,16735.0,16810.0,16745.0
2025-05-14 00:10:00,15400,16810,16730,16740,16780,16830,16750,16750,16795,16820.0,16740.0,16745.0,16787.5
2025-05-14 00:15:00,13900,16875,16780,16780,16840,16890,16795,16795,16850,16880.0,16787.5,16787.5,16845.0
2025-05-14 00:20:00,10900,16840,16745,16840,16760,16855,16750,16850,16770,16847.5,16747.5,16845.0,16765.0
2025-05-14 00:25:00,9400,16805,16750,16760,16760,16810,16755,16775,16770,16807.5,16752.5,16767.5,16765.0
2025-05-14 00:30:00,9400,16800,16745,16760,16750,16810,16750,16775,16760,16805.0,16747.5,16767.5,16755.0
2025-05-14 00:35:00,10300,16795,16750,16750,16775,16800,16755,16755,16785,16797.5,16752.5,16752.5,16780.0
2025-05-14 00:40:00,8500,16780,16735,16775,16750,16790,16740,16785,16755,16785.0,16737.5,16780.0,16752.5
2025-05-14 00:45:00,11800,16760,16715,16750,16725,16770,16725,16755,16735,16765.0,16720.0,16752.5,16730.0
2025-05-14 00:50:00,16100,16735,16675,16725,16715,16740,16680,16735,16725,16737.5,16677.5,16730.0,16720.0
2025-05-14 00:55:00,7200,16720,16660,16715,16670,16725,16670,16725,16685,16722.5,16665.0,16720.0,16677.5
2025-05-14 01:00:00,4400,16680,16660,16670,16675,16685,16665,16685,16680,16682.5,16662.5,16677.5,16677.5
2025-05-14 01:05:00,10800,16675,16635,16675,16645,16680,16640,16680,16655,16677.5,16637.5,16677.5,16650.0
2025-05-14 01:10:00,7400,16665,16610,16645,16665,16680,16615,16655,16675,16672.5,16612.5,16650.0,16670.0
2025-05-14 01:15:00,4700,16695,16660,16665,16685,16700,16670,16675,16695,16697.5,16665.0,16670.0,16690.0
2025-05-14 01:20:00,5900,16700,16680,16685,16700,16710,16685,16695,16710,16705.0,16682.5,16690.0,16705.0
2025-05-14 01:25:00,11100,16735,16690,16700,16720,16745,16700,16710,16725,16740.0,16695.0,16705.0,16722.5
2025-05-14 01:30:00,4600,16750,16715,16720,16740,16755,16720,16725,16750,16752.5,16717.5,16722.5,16745.0
2025-05-14 01:35:00,8500,16745,16720,16740,16740,16750,16730,16750,16745,16747.5,16725.0,16745.0,16742.5
2025-05-14 01:40:00,4900,16775,16740,16740,16775,16780,16745,16745,16780,16777.5,16742.5,16742.5,16777.5
2025-05-14 01:45:00,9600,16800,16750,16775,16760,16805,16755,16780,16770,16802.5,16752.5,16777.5,16765.0
2025-05-14 01:50:00,6800,16780,16740,16760,16750,16790,16750,16770,16760,16785.0,16747.5,16765.0,16755.0
2025-05-14 01:55:00,6300,16780,16745,16750,16780,16790,16750,16760,16790,16785.0,16747.5,16755.0,16785.0
2025-05-14 02:00:00,6700,16785,16750,16780,16750,16795,16755,16790,16760,16790.0,16752.5,16785.0,16755.0
2025-05-14 02:05:00,17400,16795,16750,16750,16770,16800,16760,16760,16780,16797.5,16755.0,16755.0,16775.0
2025-05-14 02:10:00,3200,16780,16770,16770,16780,16790,16775,16780,16785,16785.0,16772.5,16775.0,16782.5
2025-05-14 02:15:00,10900,16800,16765,16780,16795,16805,16770,16785,16805,16802.5,16767.5,16782.5,16800.0
2025-05-14 02:20:00,5100,16825,16795,16795,16820,16835,16800,16805,16835,16830.0,16797.5,16800.0,16827.5
2025-05-14 02:25:00,3800,16825,16800,16820,16810,16835,16805,16835,16820,16830.0,16802.5,16827.5,16815.0
2025-05-14 02:30:00,3300,16805,16805,16805,16805,16820,16820,16820,16820,16812.5,16812.5,16812.5,16812.5
2025-05-14 03:30:00,26000,16810,16740,16770,16780,16820,16760,16775,16785,16815.0,16755.0,16772.5,16782.5
2025-05-14 03:35:00,7600,16785,16770,16780,16770,16790,16775,16785,16775,16787.5,16772.5,16782.5,16772.5
