,7741.T,7741.T,7741.T,7741.T,7741.T,7741.T,7741.T,7741.T,7741.T,7741.T,7741.T,7741.T,7741.T
,ACVOL_UNS,BID_HIGH_1,BID_LOW_1,OPEN_BID,BID,ASK_HIGH_1,ASK_LOW_1,OPEN_ASK,ASK,MID_HIGH,MID_LOW,MID_OPEN,MID_PRICE
Timestamp,,,,,,,,,,,,,
2025-09-16 00:00:00,203900,21780,21275,21325,21745,21800,21310,21330,21755,21790.0,21307.5,21327.5,21750.0
2025-09-16 00:05:00,45000,21840,21680,21745,21795,21865,21700,21755,21805,21850.0,21690.0,21750.0,21800.0
2025-09-16 00:10:00,24000,21850,21755,21795,21810,21860,21765,21805,21820,21855.0,21760.0,21800.0,21815.0
2025-09-16 00:15:00,37400,21840,21750,21810,21820,21845,21770,21820,21825,21842.5,21760.0,21815.0,21822.5
2025-09-16 00:20:00,34000,21880,21750,21820,21765,21885,21760,21825,21780,21882.5,21755.0,21822.5,21772.5
2025-09-16 00:25:00,26600,21790,21715,21765,21785,21795,21725,21780,21795,21792.5,21720.0,21772.5,21790.0
2025-09-16 00:30:00,20000,21820,21695,21785,21715,21825,21700,21795,21720,21822.5,21697.5,21790.0,21717.5
2025-09-16 00:35:00,18400,21770,21715,21715,21745,21775,21720,21720,21755,21772.5,21717.5,21717.5,21750.0
2025-09-16 00:40:00,13400,21780,21715,21750,21765,21785,21720,21755,21775,21782.5,21717.5,21752.5,21770.0
2025-09-16 00:45:00,17800,21835,21765,21765,21800,21850,21775,21775,21810,21842.5,21770.0,21770.0,21805.0
2025-09-16 00:50:00,31500,21830,21635,21800,21640,21835,21650,21810,21655,21832.5,21642.5,21805.0,21647.5
2025-09-16 00:55:00,13300,21670,21555,21640,21560,21675,21570,21650,21570,21672.5,21562.5,21645.0,21565.0
2025-09-16 01:00:00,20400,21560,21380,21560,21465,21570,21395,21570,21475,21565.0,21387.5,21565.0,21470.0
2025-09-16 01:05:00,17300,21515,21415,21465,21515,21525,21420,21475,21525,21520.0,21417.5,21470.0,21520.0
2025-09-16 01:10:00,13300,21590,21495,21515,21590,21600,21505,21525,21600,21595.0,21500.0,21520.0,21595.0
2025-09-16 01:15:00,15600,21635,21510,21590,21510,21650,21525,21600,21525,21642.5,21517.5,21595.0,21517.5
2025-09-16 01:20:00,14100,21640,21510,21510,21635,21655,21525,21525,21650,21647.5,21517.5,21517.5,21642.5
2025-09-16 01:25:00,15000,21635,21545,21635,21610,21650,21555,21650,21620,21642.5,21550.0,21642.5,21615.0
2025-09-16 01:30:00,15700,21645,21595,21610,21625,21655,21610,21620,21635,21650.0,21602.5,21615.0,21630.0
2025-09-16 01:35:00,12800,21650,21610,21625,21620,21660,21620,21635,21630,21655.0,21615.0,21630.0,21625.0
2025-09-16 01:40:00,13500,21640,21600,21620,21635,21645,21605,21630,21645,21642.5,21602.5,21625.0,21640.0
2025-09-16 01:45:00,13400,21675,21630,21635,21670,21680,21640,21645,21675,21677.5,21635.0,21640.0,21672.5
2025-09-16 01:50:00,12500,21700,21670,21670,21700,21710,21675,21680,21710,21705.0,21672.5,21675.0,21705.0
2025-09-16 01:55:00,11900,21705,21685,21700,21685,21715,21690,21710,21695,21710.0,21687.5,21705.0,21690.0
2025-09-16 02:00:00,9500,21740,21675,21685,21730,21745,21680,21695,21740,21742.5,21677.5,21690.0,21735.0
2025-09-16 02:05:00,5400,21740,21720,21730,21735,21750,21730,21740,21740,21745.0,21725.0,21735.0,21737.5
2025-09-16 02:10:00,10500,21755,21720,21735,21745,21765,21730,21740,21750,21760.0,21725.0,21737.5,21747.5
2025-09-16 02:15:00,7500,21790,21745,21745,21780,21795,21750,21750,21785,21792.5,21747.5,21747.5,21782.5
2025-09-16 02:20:00,11300,21780,21735,21780,21770,21785,21745,21785,21775,21782.5,21740.0,21782.5,21772.5
2025-09-16 02:25:00,7900,21785,21750,21770,21780,21795,21765,21775,21790,21790.0,21757.5,21772.5,21785.0
2025-09-16 02:30:00,1100,21780,21780,21780,21780,21795,21795,21795,21795,21787.5,21787.5,21787.5,21787.5
2025-09-16 03:30:00,56100,21900,21810,21895,21860,21915,21845,21900,21865,21907.5,21840.0,21897.5,21862.5
2025-09-16 03:35:00,10200,21870,21840,21860,21860,21875,21850,21865,21870,21872.5,21845.0,21862.5,21865.0
2025-09-16 03:40:00,13500,21870,21830,21860,21850,21875,21845,21870,21855,21872.5,21837.5,21865.0,21852.5
2025-09-16 03:45:00,8500,21850,21775,21850,21775,21855,21790,21855,21790,21852.5,21782.5,21852.5,21782.5
2025-09-16 03:50:00,8100,21775,21745,21775,21760,21790,21750,21790,21770,21782.5,21747.5,21782.5,21765.0
2025-09-16 03:55:00,7600,21780,21745,21760,21780,21785,21750,21770,21785,21782.5,21747.5,21765.0,21782.5
