,9432.T,9432.T,9432.T,9432.T,9432.T,9432.T,9432.T,9432.T,9432.T,9432.T,9432.T,9432.T,9432.T
,ACVOL_UNS,BID_HIGH_1,BID_LOW_1,OPEN_BID,BID,ASK_HIGH_1,ASK_LOW_1,OPEN_ASK,ASK,MID_HIGH,MID_LOW,MID_OPEN,MID_PRICE
Timestamp,,,,,,,,,,,,,
2025-10-27 00:30:00,,,,,,,,,,,,,
2025-12-02 04:35:00,82100.0,155.8,155.8,155.8,155.8,155.9,155.9,155.9,155.9,155.85,155.85,155.85,155.85
2025-12-02 04:40:00,474800.0,155.8,155.7,155.8,155.7,155.9,155.8,155.9,155.8,155.85,155.75,155.85,155.75
2025-12-02 04:45:00,274300.0,155.7,155.7,155.7,155.7,155.8,155.8,155.8,155.8,155.75,155.75,155.75,155.75
2025-12-02 04:50:00,496100.0,155.7,155.7,155.7,155.7,155.8,155.8,155.8,155.8,155.75,155.75,155.75,155.75
2025-12-02 04:55:00,744900.0,155.7,155.6,155.7,155.6,155.8,155.7,155.8,155.7,155.75,155.65,155.75,155.65
2025-12-02 05:00:00,174800.0,155.6,155.6,155.6,155.6,155.7,155.7,155.7,155.7,155.65,155.65,155.65,155.65
2025-12-02 05:05:00,200800.0,155.6,155.6,155.6,155.6,155.7,155.7,155.7,155.7,155.65,155.65,155.65,155.65
2025-12-02 05:10:00,1097800.0,155.7,155.6,155.6,155.7,155.8,155.7,155.7,155.8,155.75,155.65,155.65,155.75
2025-12-02 05:15:00,1140800.0,155.8,155.7,155.7,155.8,155.9,155.8,155.8,155.9,155.85,155.75,155.75,155.85
2025-12-02 05:20:00,904900.0,155.8,155.7,155.8,155.7,155.9,155.8,155.9,155.8,155.85,155.75,155.85,155.75
2025-12-02 05:25:00,268500.0,155.7,155.7,155.7,155.7,155.8,155.8,155.8,155.8,155.75,155.75,155.75,155.75
2025-12-02 05:30:00,616400.0,155.7,155.7,155.7,155.7,155.8,155.8,155.8,155.8,155.75,155.75,155.75,155.75
2025-12-02 05:35:00,1060200.0,155.8,155.7,155.7,155.7,155.9,155.8,155.8,155.8,155.85,155.75,155.75,155.75
2025-12-02 05:40:00,1379700.0,155.7,155.6,155.7,155.6,155.8,155.7,155.8,155.7,155.75,155.65,155.75,155.65
2025-12-02 05:45:00,1299500.0,155.7,155.6,155.6,155.7,155.8,155.7,155.7,155.8,155.75,155.65,155.65,155.75
2025-12-02 05:50:00,331900.0,155.7,155.7,155.7,155.7,155.8,155.8,155.8,155.8,155.75,155.75,155.75,155.75
2025-12-02 05:55:00,854400.0,155.8,155.7,155.7,155.8,155.9,155.8,155.8,155.9,155.85,155.75,155.75,155.85
2025-12-02 06:00:00,259600.0,155.8,155.8,155.8,155.8,155.9,155.9,155.9,155.9,155.85,155.85,155.85,155.85
2025-12-02 06:05:00,2328700.0,155.8,155.6,155.8,155.6,155.9,155.7,155.9,155.7,155.85,155.65,155.85,155.65
2025-12-02 06:10:00,411600.0,155.6,155.6,155.6,155.6,155.7,155.7,155.7,155.7,155.65,155.65,155.65,155.65
2025-12-02 06:15:00,3104900.0,155.6,155.5,155.6,155.5,155.7,155.6,155.7,155.6,155.65,155.55,155.65,155.55
2025-12-02 06:20:00,1569600.0,155.6,155.5,155.5,155.6,155.7,155.6,155.6,155.7,155.65,155.55,155.55,155.65
2025-12-02 06:25:00,,155.8,155.1,155.3,155.7,155.9,155.2,155.4,155.8,155.85,155.15,155.35,155.75
2025-12-02 06:30:00,29522500.0,155.7,155.7,155.7,155.7,155.8,155.8,155.8,155.8,155.75,155.75,155.75,155.75
2025-12-03 00:00:00,21499300.0,155.9,155.1,155.7,155.1,156.2,155.2,155.8,155.2,156.05,155.15,155.75,155.15
2025-12-03 00:05:00,5893500.0,155.3,155.0,155.1,155.3,155.4,155.1,155.2,155.4,155.35,155.05,155.15,155.35
2025-12-03 00:10:00,3422400.0,155.5,155.3,155.3,155.5,155.6,155.4,155.4,155.6,155.55,155.35,155.35,155.55
2025-12-03 00:15:00,1886000.0,155.6,155.4,155.5,155.5,155.7,155.5,155.6,155.6,155.65,155.45,155.55,155.55
2025-12-03 00:20:00,2814200.0,155.5,155.3,155.5,155.3,155.6,155.4,155.6,155.4,155.55,155.35,155.55,155.35
2025-12-03 00:25:00,1984600.0,155.3,155.2,155.3,155.2,155.4,155.3,155.4,155.3,155.35,155.25,155.35,155.25
2025-12-03 00:30:00,2975200.0,155.2,155.1,155.2,155.1,155.3,155.2,155.3,155.2,155.25,155.15,155.25,155.15
2025-12-03 00:35:00,7497000.0,155.2,154.9,155.1,154.9,155.3,155.0,155.2,155.0,155.25,154.95,155.15,154.95
2025-12-03 00:40:00,3563600.0,154.9,154.8,154.9,154.8,155.0,154.9,155.0,154.9,154.95,154.85,154.95,154.85
