,8035.T,8035.T,8035.T,8035.T,8035.T,8035.T,8035.T,8035.T,8035.T,8035.T,8035.T,8035.T,8035.T
,ACVOL_UNS,BID_HIGH_1,BID_LOW_1,OPEN_BID,BID,ASK_HIGH_1,ASK_LOW_1,OPEN_ASK,ASK,MID_HIGH,MID_LOW,MID_OPEN,MID_PRICE
Timestamp,,,,,,,,,,,,,
2025-05-13 06:15:00,51600,23990,23950,23990,23950,23995,23955,23995,23955,23992.5,23952.5,23992.5,23952.5
2025-05-13 06:20:00,59500,23975,23950,23950,23960,23980,23955,23955,23970,23977.5,23952.5,23952.5,23965.0
2025-05-13 06:25:00,,24305,23840,23850,23995,24310,23845,23855,24000,24307.5,23842.5,23852.5,23997.5
2025-05-13 06:30:00,623300,23970,23970,23970,23970,24005,24005,24005,24005,23987.5,23987.5,23987.5,23987.5
2025-05-14 00:00:00,484400,24490,24370,24465,24405,24510,24385,24470,24420,24500.0,24377.5,24467.5,24412.5
2025-05-14 00:05:00,201500,24555,24400,24405,24475,24565,24405,24420,24485,24560.0,24402.5,24412.5,24480.0
2025-05-14 00:10:00,131000,24475,24350,24475,24390,24485,24355,24485,24395,24480.0,24352.5,24480.0,24392.5
2025-05-14 00:15:00,150400,24555,24380,24390,24535,24560,24385,24395,24540,24557.5,24382.5,24392.5,24537.5
2025-05-14 00:20:00,90800,24550,24450,24535,24520,24555,24455,24540,24530,24552.5,24452.5,24537.5,24525.0
2025-05-14 00:25:00,83500,24525,24410,24520,24440,24530,24415,24530,24445,24527.5,24412.5,24525.0,24442.5
2025-05-14 00:30:00,78000,24445,24395,24440,24420,24450,24400,24445,24430,24447.5,24397.5,24442.5,24425.0
2025-05-14 00:35:00,97500,24430,24320,24420,24340,24435,24325,24430,24345,24432.5,24322.5,24425.0,24342.5
2025-05-14 00:40:00,42300,24345,24305,24340,24325,24350,24310,24345,24330,24347.5,24307.5,24342.5,24327.5
2025-05-14 00:45:00,48600,24355,24315,24325,24320,24360,24320,24330,24325,24357.5,24317.5,24327.5,24322.5
2025-05-14 00:50:00,83200,24355,24210,24320,24240,24360,24215,24325,24245,24357.5,24212.5,24322.5,24242.5
2025-05-14 00:55:00,71200,24285,24150,24240,24150,24290,24155,24245,24155,24287.5,24152.5,24242.5,24152.5
2025-05-14 01:00:00,69100,24180,24050,24150,24060,24185,24060,24155,24065,24182.5,24055.0,24152.5,24062.5
2025-05-14 01:05:00,74600,24180,24045,24060,24155,24185,24050,24065,24160,24182.5,24047.5,24062.5,24157.5
2025-05-14 01:10:00,61900,24195,24115,24155,24165,24200,24120,24160,24175,24197.5,24117.5,24157.5,24170.0
2025-05-14 01:15:00,63100,24220,24130,24165,24180,24225,24135,24175,24185,24222.5,24132.5,24170.0,24182.5
2025-05-14 01:20:00,44600,24200,24160,24180,24170,24205,24165,24185,24175,24202.5,24162.5,24182.5,24172.5
2025-05-14 01:25:00,53500,24185,24075,24170,24085,24195,24085,24175,24090,24190.0,24080.0,24172.5,24087.5
2025-05-14 01:30:00,39500,24145,24070,24085,24145,24150,24075,24090,24150,24147.5,24072.5,24087.5,24147.5
2025-05-14 01:35:00,27900,24160,24110,24145,24120,24165,24115,24150,24130,24162.5,24112.5,24147.5,24125.0
2025-05-14 01:40:00,41800,24170,24090,24120,24150,24175,24095,24125,24155,24172.5,24092.5,24122.5,24152.5
2025-05-14 01:45:00,31900,24160,24090,24150,24115,24165,24095,24155,24125,24162.5,24092.5,24152.5,24120.0
2025-05-14 01:50:00,20500,24130,24100,24115,24130,24135,24105,24125,24135,24132.5,24102.5,24120.0,24132.5
2025-05-14 01:55:00,26000,24180,24120,24130,24170,24185,24125,24135,24175,24182.5,24122.5,24132.5,24172.5
2025-05-14 02:00:00,35000,24205,24130,24170,24130,24210,24135,24175,24135,24207.5,24132.5,24172.5,24132.5
2025-05-14 02:05:00,37500,24140,24080,24130,24080,24145,24085,24135,24085,24142.5,24082.5,24132.5,24082.5
2025-05-14 02:10:00,63000,24080,24000,24080,24010,24085,24005,24085,24015,24082.5,24002.5,24082.5,24012.5
2025-05-14 02:15:00,51400,24015,23950,24010,23955,24020,23955,24015,23965,24017.5,23952.5,24012.5,23960.0
2025-05-14 02:20:00,40200,23990,23945,23955,23950,23995,23950,23965,23955,23992.5,23947.5,23960.0,23952.5
2025-05-14 02:25:00,48400,23965,23890,23950,23890,23980,23900,23955,23905,23970.0,23895.0,23952.5,23897.5
2025-05-14 02:30:00,19800,23880,23880,23880,23880,23905,23905,23905,23905,23892.5,23892.5,23892.5,23892.5
2025-05-14 03:30:00,107900,23910,23815,23830,23885,23915,23825,23835,23890,23912.5,23820.0,23832.5,23887.5
2025-05-14 03:35:00,34500,23930,23875,23885,23905,23935,23880,23890,23910,23932.5,23877.5,23887.5,23907.5
