,6861.T,6861.T,6861.T,6861.T,6861.T,6861.T,6861.T,6861.T,6861.T,6861.T,6861.T,6861.T,6861.T
,ACVOL_UNS,BID_HIGH_1,BID_LOW_1,OPEN_BID,BID,ASK_HIGH_1,ASK_LOW_1,OPEN_ASK,ASK,MID_HIGH,MID_LOW,MID_OPEN,MID_PRICE
Timestamp,,,,,,,,,,,,,
2025-05-13 06:15:00,6200,64270,64210,64270,64220,64290,64220,64290,64240,64280,64215,64280,64230
2025-05-13 06:20:00,18900,64260,64200,64220,64230,64270,64210,64240,64250,64265,64205,64230,64240
2025-05-13 06:25:00,,64450,64000,64350,64260,64460,64010,64360,64270,64455,64005,64355,64265
2025-05-13 06:30:00,146700,64230,64230,64230,64230,64290,64290,64290,64290,64260,64260,64260,64260
2025-05-14 00:00:00,82100,64400,63750,64360,63760,64480,63790,64360,63790,64425,63770,64360,63775
2025-05-14 00:05:00,16600,63790,63550,63750,63600,63840,63590,63790,63640,63815,63570,63770,63620
2025-05-14 00:10:00,14800,63640,63450,63600,63480,63670,63490,63640,63530,63655,63470,63620,63505
2025-05-14 00:15:00,6400,63540,63420,63480,63420,63570,63450,63530,63460,63555,63435,63505,63440
2025-05-14 00:20:00,9500,63420,63250,63420,63270,63460,63260,63460,63300,63440,63255,63440,63285
2025-05-14 00:25:00,6600,63330,63150,63270,63170,63350,63160,63300,63200,63340,63155,63285,63185
2025-05-14 00:30:00,7400,63400,63170,63170,63290,63430,63200,63200,63330,63415,63185,63185,63310
2025-05-14 00:35:00,5500,63370,63250,63300,63310,63390,63270,63330,63340,63380,63260,63315,63325
2025-05-14 00:40:00,3000,63380,63300,63310,63330,63400,63320,63340,63360,63390,63310,63325,63345
2025-05-14 00:45:00,5100,63340,63250,63330,63270,63360,63280,63360,63300,63350,63270,63345,63285
2025-05-14 00:50:00,6300,63370,63260,63270,63320,63390,63290,63300,63330,63380,63275,63285,63325
2025-05-14 00:55:00,4600,63340,63260,63320,63280,63370,63280,63330,63290,63355,63270,63325,63285
2025-05-14 01:00:00,14900,63290,63110,63280,63120,63320,63120,63290,63140,63305,63115,63285,63130
2025-05-14 01:05:00,12900,63260,63020,63120,63250,63270,63040,63140,63270,63265,63030,63130,63260
2025-05-14 01:10:00,6300,63250,63100,63250,63160,63270,63120,63270,63190,63260,63115,63260,63175
2025-05-14 01:15:00,3600,63270,63150,63160,63200,63280,63170,63190,63230,63275,63160,63175,63215
2025-05-14 01:20:00,3400,63280,63190,63200,63260,63300,63220,63230,63290,63290,63205,63215,63275
2025-05-14 01:25:00,3500,63310,63220,63260,63220,63330,63240,63290,63250,63320,63230,63275,63235
2025-05-14 01:30:00,3400,63270,63200,63220,63230,63300,63220,63250,63250,63285,63210,63235,63240
2025-05-14 01:35:00,2700,63280,63200,63230,63270,63300,63230,63250,63300,63290,63215,63240,63285
2025-05-14 01:40:00,6700,63440,63260,63260,63400,63450,63290,63300,63430,63445,63275,63280,63415
2025-05-14 01:45:00,2300,63420,63300,63400,63320,63450,63340,63430,63340,63435,63320,63415,63330
2025-05-14 01:50:00,1600,63370,63310,63320,63310,63400,63330,63340,63330,63385,63320,63330,63320
2025-05-14 01:55:00,3800,63410,63310,63310,63390,63440,63330,63330,63420,63425,63320,63320,63405
2025-05-14 02:00:00,1500,63440,63380,63390,63410,63460,63420,63420,63440,63450,63400,63405,63425
2025-05-14 02:05:00,1700,63460,63390,63410,63410,63480,63410,63440,63430,63470,63400,63425,63420
2025-05-14 02:10:00,900,63430,63360,63410,63360,63470,63380,63430,63380,63450,63370,63420,63370
2025-05-14 02:15:00,2400,63430,63330,63360,63350,63460,63360,63380,63370,63445,63345,63370,63360
2025-05-14 02:20:00,4200,63350,63230,63350,63260,63370,63260,63370,63290,63360,63245,63360,63275
2025-05-14 02:25:00,4000,63280,63140,63260,63160,63290,63160,63290,63210,63285,63150,63275,63185
2025-05-14 02:30:00,1100,,,,,,,,,,,,
2025-05-14 03:30:00,24900,63170,63010,63120,63070,63200,63030,63130,63100,63185,63020,63125,63085
2025-05-14 03:35:00,3200,63120,63050,63070,63100,63140,63080,63090,63130,63130,63065,63080,63115
2025-05-14 03:40:00,3900,63240,63100,63100,63230,63280,63110,63130,63270,63260,63105,63115,63250
2025-05-14 03:45:00,2400,63300,63220,63230,63300,63320,63250,63270,63320,63310,63235,63250,63310
2025-05-14 03:50:00,1600,63310,63210,63310,63260,63340,63240,63320,63280,63325,63225,63315,63270
2025-05-14 03:55:00,1600,63260,63170,63260,63170,63280,63180,63280,63180,63270,63175,63270,63175
2025-05-14 04:00:00,3600,63180,63130,63150,63130,63200,63150,63180,63160,63190,63140,63165,63145
2025-05-14 04:05:00,900,63190,63120,63130,63150,63220,63150,63160,63180,63205,63135,63145,63165
