,2904.T,2904.T,2904.T,2904.T,2904.T,2904.T,2904.T,2904.T,2904.T,2904.T,2904.T,2904.T,2904.T
,ACVOL_UNS,BID_HIGH_1,BID_LOW_1,OPEN_BID,BID,ASK_HIGH_1,ASK_LOW_1,OPEN_ASK,ASK,MID_HIGH,MID_LOW,MID_OPEN,MID_PRICE
Timestamp,,,,,,,,,,,,,
2025-10-27 00:30:00,,,,,,,,,,,,,
2025-11-27 06:25:00,,748.0,748.0,748.0,748.0,749.0,748.0,749.0,748.0,748.5,748.0,748.5,748.0
2025-11-27 06:30:00,200.0,747.0,747.0,747.0,747.0,749.0,749.0,749.0,749.0,748.0,748.0,748.0,748.0
2025-11-28 00:00:00,400.0,747.0,747.0,747.0,747.0,749.0,749.0,749.0,749.0,748.0,748.0,748.0,748.0
2025-11-28 00:05:00,100.0,747.0,747.0,747.0,747.0,749.0,749.0,749.0,749.0,748.0,748.0,748.0,748.0
2025-11-28 00:10:00,,747.0,747.0,747.0,747.0,749.0,749.0,749.0,749.0,748.0,748.0,748.0,748.0
2025-11-28 00:30:00,,748.0,747.0,747.0,748.0,749.0,749.0,749.0,749.0,748.5,748.0,748.0,748.5
2025-11-28 00:45:00,,747.0,747.0,747.0,747.0,749.0,748.0,749.0,748.0,748.0,747.5,748.0,747.5
2025-11-28 00:50:00,,747.0,747.0,747.0,747.0,748.0,748.0,748.0,748.0,747.5,747.5,747.5,747.5
2025-11-28 00:55:00,200.0,747.0,747.0,747.0,747.0,748.0,748.0,748.0,748.0,747.5,747.5,747.5,747.5
2025-11-28 01:05:00,100.0,748.0,747.0,747.0,747.0,749.0,749.0,749.0,749.0,748.5,748.0,748.0,748.0
2025-11-28 01:50:00,,748.0,747.0,747.0,747.0,749.0,749.0,749.0,749.0,748.5,748.0,748.0,748.0
2025-11-28 02:25:00,,748.0,748.0,748.0,748.0,749.0,749.0,749.0,749.0,748.5,748.5,748.5,748.5
2025-11-28 03:30:00,100.0,748.0,748.0,748.0,748.0,749.0,749.0,749.0,749.0,748.5,748.5,748.5,748.5
2025-11-28 03:50:00,200.0,748.0,747.0,748.0,747.0,749.0,749.0,749.0,749.0,748.5,748.0,748.5,748.0
2025-11-28 04:30:00,500.0,747.0,747.0,747.0,747.0,749.0,749.0,749.0,749.0,748.0,748.0,748.0,748.0
2025-11-28 04:35:00,500.0,746.0,745.0,746.0,745.0,749.0,748.0,749.0,748.0,747.5,746.5,747.5,746.5
2025-11-28 04:40:00,,745.0,745.0,745.0,745.0,748.0,748.0,748.0,748.0,746.5,746.5,746.5,746.5
2025-11-28 04:50:00,,746.0,746.0,746.0,746.0,748.0,748.0,748.0,748.0,747.0,747.0,747.0,747.0
2025-11-28 04:55:00,,747.0,746.0,746.0,747.0,748.0,748.0,748.0,748.0,747.5,747.0,747.0,747.5
2025-11-28 05:00:00,100.0,747.0,747.0,747.0,747.0,748.0,748.0,748.0,748.0,747.5,747.5,747.5,747.5
2025-11-28 05:10:00,200.0,747.0,747.0,747.0,747.0,749.0,748.0,748.0,749.0,748.0,747.5,747.5,748.0
2025-11-28 05:50:00,100.0,747.0,746.0,747.0,746.0,749.0,749.0,749.0,749.0,748.0,747.5,748.0,747.5
2025-11-28 06:00:00,,746.0,746.0,746.0,746.0,749.0,749.0,749.0,749.0,747.5,747.5,747.5,747.5
2025-11-28 06:25:00,,749.0,746.0,746.0,746.0,749.0,747.0,749.0,747.0,749.0,746.5,747.5,746.5
2025-11-28 06:30:00,200.0,746.0,746.0,746.0,746.0,749.0,749.0,749.0,749.0,747.5,747.5,747.5,747.5
2025-12-01 00:00:00,1600.0,748.0,748.0,748.0,748.0,749.0,749.0,749.0,749.0,748.5,748.5,748.5,748.5
2025-12-01 01:00:00,400.0,747.0,747.0,747.0,747.0,749.0,748.0,748.0,749.0,748.0,747.5,747.5,748.0
2025-12-01 01:35:00,1000.0,747.0,746.0,747.0,746.0,749.0,748.0,749.0,748.0,748.0,747.0,748.0,747.0
2025-12-01 01:55:00,,747.0,746.0,747.0,746.0,748.0,748.0,748.0,748.0,747.5,747.0,747.5,747.0
2025-12-01 03:30:00,100.0,746.0,746.0,746.0,746.0,748.0,748.0,748.0,748.0,747.0,747.0,747.0,747.0
2025-12-01 03:40:00,300.0,746.0,746.0,746.0,746.0,748.0,747.0,748.0,748.0,747.0,746.5,747.0,747.0
2025-12-01 03:50:00,500.0,746.0,746.0,746.0,746.0,749.0,747.0,748.0,749.0,747.5,746.5,747.0,747.5
2025-12-01 03:55:00,,746.0,746.0,746.0,746.0,749.0,748.0,749.0,748.0,747.5,747.0,747.5,747.0
2025-12-01 04:10:00,300.0,748.0,748.0,748.0,748.0,749.0,749.0,749.0,749.0,748.5,748.5,748.5,748.5
